                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                0.30416,                 0.3703,                0.24091,                0.81228,                0.99241,                0.99137,                0.99358,                0.97583,                0.99215,                0.98973,                0.99351,                0.92558,                0.22734,                0.32693,                0.18415,                0.79026,              0.0009704,              0.0009704,              0.0009704
                     54,                 0.3014,                 0.3626,                0.23951,                0.81327,                0.99115,                0.99242,                0.99319,                0.97854,                0.99091,                0.99217,                0.99325,                0.93306,                0.23107,                0.32553,                0.18783,                0.79027,              0.0009506,              0.0009506,              0.0009506
                     55,                0.29942,                0.35543,                0.23816,                0.81374,                0.99063,                0.99022,                0.99317,                0.97755,                0.99022,                0.99016,                 0.9932,                0.93195,                0.22878,                0.35281,                0.18791,                0.79017,              0.0009308,              0.0009308,              0.0009308
                     56,                0.30133,                0.35379,                0.23812,                 0.8119,                0.99434,                0.98851,                 0.9933,                0.97827,                0.99434,                0.98851,                0.99331,                0.93313,                0.22513,                0.33682,                0.18367,                0.78876,               0.000911,               0.000911,               0.000911
                     57,                0.29643,                0.35343,                0.23434,                0.81126,                0.99073,                0.99286,                 0.9931,                0.97801,                0.99071,                0.99315,                0.99326,                0.93296,                0.22794,                0.31878,                0.18347,                0.79038,              0.0008912,              0.0008912,              0.0008912
                     58,                0.29209,                0.34891,                0.23576,                0.80992,                 0.9914,                0.99193,                0.99319,                0.97971,                0.99145,                0.99216,                0.99322,                0.93304,                0.22527,                0.33229,                0.18187,                0.78939,              0.0008714,              0.0008714,              0.0008714
                     59,                0.29375,                0.35085,                0.23472,                0.80792,                0.99144,                0.99161,                0.99328,                0.97673,                0.99144,                0.99161,                0.99332,                0.92906,                0.22385,                0.33159,                0.18037,                0.78929,              0.0008516,              0.0008516,              0.0008516
                     60,                0.29595,                0.34618,                0.23361,                  0.809,                0.98706,                0.98948,                0.99331,                0.97827,                 0.9873,                0.98973,                0.99337,                0.93317,                0.22225,                0.32564,                0.18017,                0.78877,              0.0008318,              0.0008318,              0.0008318
                     61,                0.29504,                0.35052,                0.23351,                0.81151,                0.99381,                0.98899,                0.99312,                0.97932,                0.99361,                0.98921,                 0.9932,                0.94466,                0.22394,                0.33187,                0.18422,                0.78839,               0.000812,               0.000812,               0.000812
                     62,                0.29263,                0.35666,                0.23292,                0.81041,                0.99015,                0.99266,                0.99324,                0.98071,                0.99064,                0.99315,                 0.9934,                0.93516,                0.22066,                0.32253,                 0.1814,                0.78827,              0.0007922,              0.0007922,              0.0007922
                     63,                0.29053,                0.34226,                0.23045,                0.81174,                0.98943,                0.99291,                0.99317,                0.97941,                0.98992,                 0.9934,                0.99335,                0.93968,                0.21805,                0.32112,                0.17706,                0.78857,              0.0007724,              0.0007724,              0.0007724
                     64,                0.29194,                0.34262,                0.23232,                0.81013,                0.99123,                0.99242,                0.99315,                0.97863,                0.99123,                0.99242,                0.99328,                0.93367,                0.22143,                0.32226,                0.17612,                0.78958,              0.0007526,              0.0007526,              0.0007526
                     65,                0.28705,                0.33541,                0.22469,                0.80833,                0.99192,                0.99052,                0.99314,                0.97772,                0.99046,                0.99291,                0.99319,                0.92678,                0.21924,                0.33087,                0.17375,                0.78815,              0.0007328,              0.0007328,              0.0007328
                     66,                 0.2832,                0.34017,                0.22499,                0.80874,                 0.9912,                0.99221,                0.99323,                0.97928,                 0.9912,                0.99221,                0.99331,                0.93064,                0.21592,                   0.32,                0.17342,                0.78867,               0.000713,               0.000713,               0.000713
                     67,                0.28695,                0.34387,                0.22822,                 0.8089,                0.99109,                0.99242,                0.99311,                0.98038,                0.99083,                0.99217,                0.99319,                0.93746,                0.21785,                0.32279,                0.17121,                0.78687,              0.0006932,              0.0006932,              0.0006932
                     68,                0.28427,                0.33475,                0.22563,                0.80912,                0.98999,                0.99127,                0.99313,                0.97729,                0.98999,                0.99127,                0.99318,                0.93299,                0.21871,                0.32824,                0.17578,                0.78804,              0.0006734,              0.0006734,              0.0006734
                     69,                0.28777,                0.34373,                0.22782,                0.80918,                0.98949,                0.99217,                0.99331,                0.97857,                0.98949,                0.99217,                0.99324,                0.93401,                0.21749,                0.32687,                0.17292,                0.78854,              0.0006536,              0.0006536,              0.0006536
                     70,                 0.2827,                0.33909,                0.22444,                0.80785,                0.98979,                0.99315,                0.99307,                0.97963,                0.99168,                0.99079,                0.99295,                0.93818,                0.22068,                0.32647,                0.17123,                0.78823,              0.0006338,              0.0006338,              0.0006338
                     71,                0.28137,                0.33435,                0.22331,                0.80875,                0.98964,                0.99315,                0.99317,                0.98015,                0.99223,                0.99071,                0.99324,                0.93827,                0.21642,                0.32656,                0.17466,                0.78863,               0.000614,               0.000614,               0.000614
                     72,                0.27971,                0.33668,                0.22248,                0.80755,                0.99115,                0.98948,                0.99312,                0.97963,                0.99115,                0.98948,                0.99311,                0.93264,                0.21662,                 0.3156,                0.17129,                0.78811,              0.0005942,              0.0005942,              0.0005942
                     73,                0.28139,                0.34582,                0.22227,                0.80611,                0.98773,                0.99217,                0.99341,                0.97976,                0.98783,                0.99214,                 0.9934,                0.93012,                0.21485,                0.31569,                0.17022,                 0.7876,              0.0005744,              0.0005744,              0.0005744
                     74,                0.28068,                0.33533,                 0.2216,                0.80617,                0.98844,                0.99095,                0.99326,                  0.981,                0.98869,                0.99095,                0.99343,                0.94165,                0.21248,                0.34075,                0.16854,                0.78737,              0.0005546,              0.0005546,              0.0005546
                     75,                0.27804,                0.33112,                0.21773,                0.80773,                0.99391,                0.98875,                0.99324,                0.98133,                0.99391,                0.98875,                0.99319,                0.93558,                0.21397,                0.31601,                0.16761,                0.78695,              0.0005348,              0.0005348,              0.0005348
                     76,                0.28333,                 0.3404,                  0.221,                0.80858,                0.99112,                0.99266,                0.99345,                0.97977,                0.99049,                0.99291,                0.99337,                0.93387,                0.21836,                0.32929,                 0.1765,                0.78697,               0.000515,               0.000515,               0.000515
                     77,                0.27815,                0.33355,                0.21783,                0.80533,                0.99087,                0.99242,                0.99337,                0.98175,                0.99087,                0.99242,                0.99337,                 0.9351,                0.21247,                0.32495,                 0.1682,                 0.7875,              0.0004952,              0.0004952,              0.0004952
                     78,                0.28051,                0.33242,                0.21879,                 0.8112,                0.99068,                0.99291,                0.99316,                0.98077,                0.99077,                0.99315,                 0.9932,                0.93449,                0.21043,                0.33651,                0.16843,                0.78614,              0.0004754,              0.0004754,              0.0004754
                     79,                0.28022,                0.34015,                0.21961,                0.80978,                 0.9912,                0.99189,                0.99331,                0.98187,                0.99073,                0.99315,                0.99332,                 0.9375,                0.20952,                0.31499,                 0.1676,                0.78894,              0.0004556,              0.0004556,              0.0004556
                     80,                0.27814,                0.33398,                0.21974,                0.80469,                0.99121,                0.99095,                 0.9934,                 0.9812,                0.99097,                0.99071,                0.99335,                0.93645,                0.21043,                0.32353,                0.16415,                0.78619,              0.0004358,              0.0004358,              0.0004358
                     81,                0.27505,                0.33209,                0.21545,                0.80687,                0.99117,                0.99266,                0.99314,                0.98077,                0.99117,                0.99266,                0.99325,                0.94061,                0.20985,                0.31591,                0.16497,                0.78617,               0.000416,               0.000416,               0.000416
                     82,                0.27828,                0.32626,                0.21834,                0.80942,                0.99337,                0.98936,                 0.9934,                0.98172,                0.99337,                0.98936,                0.99343,                0.93842,                0.20961,                0.31977,                0.16507,                 0.7864,              0.0003962,              0.0003962,              0.0003962
                     83,                0.27094,                0.33007,                0.21312,                0.80576,                 0.9889,                0.99291,                0.99329,                0.98156,                0.98914,                0.99315,                0.99332,                0.93283,                0.21084,                0.32288,                0.16726,                0.78681,              0.0003764,              0.0003764,              0.0003764
                     84,                0.27415,                0.33108,                0.21405,                0.80659,                0.99144,                0.99107,                 0.9934,                0.98146,                0.99024,                0.99299,                 0.9934,                0.93613,                0.20917,                 0.3167,                0.16165,                0.78655,              0.0003566,              0.0003566,              0.0003566
                     85,                0.26921,                0.32497,                0.21017,                0.80655,                0.99388,                0.98899,                0.99326,                0.98128,                0.99388,                0.98899,                0.99326,                 0.9375,                0.20617,                0.32111,                0.15907,                0.78582,              0.0003368,              0.0003368,              0.0003368
                     86,                0.27407,                0.34401,                0.21479,                0.80821,                0.99159,                0.99169,                0.99326,                0.98156,                0.99159,                0.99169,                0.99327,                0.93785,                0.20687,                0.32081,                0.16147,                0.78552,               0.000317,               0.000317,               0.000317
