                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,             _timestamp,               _runtime
                     52,                0.29984,                0.35963,                0.23987,                0.81225,                 0.9912,                 0.9916,                0.99328,                0.97708,                0.99116,                0.99193,                0.99335,                0.93975,                0.22346,                0.32176,                0.18419,                0.78836,                0.00101,                0.00101,                0.00101,             1.7124e+09,                   5822
                     53,                0.29692,                0.34517,                 0.2384,                0.80925,                0.99093,                0.99217,                0.99366,                 0.9782,                0.99068,                0.99193,                 0.9937,                0.93879,                0.22364,                0.33149,                0.18795,                0.79013,              0.0009902,              0.0009902,              0.0009902,             1.7124e+09,                   5936
                     54,                0.29947,                0.35036,                 0.2376,                0.81423,                0.99361,                 0.9894,                0.99333,                0.97637,                0.99361,                 0.9894,                 0.9934,                0.93208,                0.23047,                0.32597,                0.19734,                0.79037,              0.0009704,              0.0009704,              0.0009704,             1.7124e+09,                   6048
                     55,                0.29871,                0.35648,                0.24075,                0.81154,                0.99023,                  0.991,                 0.9933,                0.97878,                0.99048,                0.99242,                0.99317,                0.93698,                0.22823,                0.32266,                0.19226,                0.78917,              0.0009506,              0.0009506,              0.0009506,             1.7124e+09,                   6162
                     56,                0.29914,                0.34811,                0.23981,                0.81243,                0.99001,                0.98997,                0.99321,                0.97641,                0.99025,                0.99022,                0.99323,                0.94069,                0.22913,                0.33463,                0.18918,                0.79063,              0.0009308,              0.0009308,              0.0009308,             1.7124e+09,                   6275
                     57,                 0.2954,                0.35046,                0.23824,                0.80937,                0.98951,                0.99239,                0.99324,                0.97844,                0.98951,                0.99239,                0.99328,                0.93288,                0.21937,                0.33457,                0.18092,                 0.7888,               0.000911,               0.000911,               0.000911,             1.7124e+09,                   6391
                     58,                0.29648,                0.37201,                0.23563,                0.81147,                0.99271,                0.98826,                0.99313,                0.97739,                0.99288,                0.98864,                0.99317,                0.93273,                0.22562,                  0.317,                0.18585,                0.78941,              0.0008912,              0.0008912,              0.0008912,             1.7124e+09,                   6502
                     59,                 0.2935,                0.34772,                0.23258,                 0.8128,                0.98821,                0.99291,                0.99324,                0.97829,                0.98821,                0.99291,                0.99332,                0.93822,                0.22478,                0.32277,                0.18622,                0.78969,              0.0008714,              0.0008714,              0.0008714,             1.7124e+09,                   6615
                     60,                0.29318,                0.34695,                0.23048,                0.81474,                0.99145,                0.99208,                0.99302,                0.97855,                 0.9912,                0.99183,                0.99319,                0.93915,                 0.2252,                0.31974,                0.18206,                0.78916,              0.0008516,              0.0008516,              0.0008516,             1.7124e+09,                   6727
                     61,                0.29229,                0.34081,                0.23291,                0.81163,                0.99434,                0.98874,                0.99327,                0.97712,                 0.9941,                 0.9885,                0.99326,                0.92631,                0.22203,                0.32126,                0.18079,                0.78898,              0.0008318,              0.0008318,              0.0008318,             1.7124e+09,                   6840
                     62,                0.28878,                0.35813,                0.23024,                0.81034,                0.99024,                0.98924,                0.99311,                0.97878,                0.99024,                0.98924,                0.99314,                 0.9352,                0.21952,                0.32067,                0.18274,                0.78958,               0.000812,               0.000812,               0.000812,             1.7124e+09,                   6953
                     63,                0.28866,                0.35041,                0.22868,                0.80814,                0.99023,                0.99266,                0.99365,                0.97843,                0.99048,                0.99257,                0.99364,                0.92743,                0.22595,                0.32554,                0.17789,                0.78943,              0.0007922,              0.0007922,              0.0007922,             1.7124e+09,                   7064
