epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,6625.9,0.65296,1.24229,0.38697,0.89884,0.98988,0.99165,0.992,0.83203,0.98488,0.98664,0.98415,0.74655,0.68412,1.24943,0.36243,0.90685,0.0009308,0.0009308,0.0009308
56,6743.82,0.64348,1.22326,0.38207,0.89859,0.9899,0.99165,0.99215,0.83176,0.98658,0.98831,0.98532,0.75292,0.6985,1.23709,0.37555,0.92,0.000911,0.000911,0.000911
57,6860.03,0.67016,1.26247,0.38526,0.90217,0.99074,0.99249,0.99281,0.82798,0.98741,0.98915,0.98968,0.747,0.69972,1.27993,0.37472,0.91579,0.0008912,0.0008912,0.0008912
58,6976.52,0.64696,1.22626,0.38116,0.90204,0.98991,0.99165,0.99264,0.82959,0.98491,0.98664,0.98259,0.74464,0.68289,1.25192,0.36836,0.90827,0.0008714,0.0008714,0.0008714
59,7093.29,0.64016,1.22252,0.38106,0.8936,0.98991,0.99165,0.99244,0.82345,0.98574,0.98748,0.98279,0.74812,0.68398,1.28732,0.3689,0.90291,0.0008516,0.0008516,0.0008516
60,7209.58,0.63959,1.22175,0.37726,0.89371,0.98986,0.99165,0.99161,0.83308,0.9832,0.98497,0.98097,0.74082,0.67806,1.29324,0.37161,0.90071,0.0008318,0.0008318,0.0008318
61,7325.19,0.62471,1.19426,0.37458,0.88904,0.98973,0.99165,0.9916,0.82421,0.98473,0.98664,0.97845,0.74836,0.67886,1.24763,0.36808,0.90351,0.000812,0.000812,0.000812
62,7455.47,0.63569,1.23596,0.37027,0.89732,0.98979,0.99165,0.9929,0.82827,0.98479,0.98664,0.98208,0.7485,0.67506,1.25642,0.36847,0.90258,0.0007922,0.0007922,0.0007922
63,7575.41,0.6223,1.18241,0.37357,0.8905,0.9899,0.99165,0.99274,0.82588,0.98657,0.98831,0.98147,0.75207,0.68699,1.25218,0.36845,0.9035,0.0007724,0.0007724,0.0007724
64,7693.76,0.64107,1.22403,0.37412,0.90094,0.99074,0.99249,0.99294,0.83651,0.98408,0.98581,0.98044,0.75291,0.66018,1.25067,0.35992,0.89558,0.0007526,0.0007526,0.0007526
65,7814.72,0.63565,1.21286,0.36902,0.89377,0.9899,0.99165,0.99253,0.83458,0.98324,0.98497,0.98235,0.74187,0.681,1.26667,0.36889,0.90264,0.0007328,0.0007328,0.0007328
66,7944.34,0.62741,1.19341,0.36467,0.89094,0.98992,0.99165,0.99259,0.83138,0.98658,0.98831,0.98155,0.74698,0.67428,1.26251,0.35643,0.89772,0.000713,0.000713,0.000713
67,8060.34,0.62705,1.19142,0.36654,0.89969,0.98991,0.99165,0.99251,0.83665,0.98574,0.98748,0.98244,0.75121,0.66788,1.27039,0.35906,0.8969,0.0006932,0.0006932,0.0006932
68,8175.72,0.63652,1.18894,0.3634,0.8995,0.99076,0.99249,0.99332,0.83217,0.98492,0.98664,0.98436,0.74378,0.65759,1.25025,0.34804,0.8981,0.0006734,0.0006734,0.0006734
69,8291.48,0.61479,1.17521,0.36049,0.88744,0.9899,0.99165,0.99291,0.83363,0.98573,0.98748,0.98444,0.74687,0.67353,1.25719,0.36245,0.90702,0.0006536,0.0006536,0.0006536
70,8409.16,0.62985,1.21181,0.36255,0.89128,0.9899,0.99165,0.99277,0.83669,0.98573,0.98748,0.98366,0.75951,0.67449,1.22972,0.35048,0.90276,0.0006338,0.0006338,0.0006338
71,8524.99,0.6109,1.17291,0.36161,0.88962,0.98989,0.99165,0.99296,0.83804,0.98489,0.98664,0.98331,0.75834,0.66128,1.23142,0.35498,0.89558,0.000614,0.000614,0.000614
72,8641.93,0.60654,1.1272,0.35525,0.88468,0.98992,0.99165,0.99302,0.83211,0.98409,0.98581,0.985,0.75769,0.69461,1.28336,0.35349,0.90393,0.0005942,0.0005942,0.0005942
73,8755.49,0.62069,1.17448,0.3576,0.89544,0.98991,0.99165,0.99327,0.83326,0.98491,0.98664,0.98563,0.76253,0.67282,1.25185,0.34723,0.89564,0.0005744,0.0005744,0.0005744
74,8870.22,0.60845,1.17747,0.3571,0.8836,0.9907,0.99249,0.9928,0.84577,0.9857,0.98748,0.98471,0.76253,0.65709,1.24351,0.35446,0.89522,0.0005546,0.0005546,0.0005546
75,8987.03,0.60741,1.16966,0.35424,0.89273,0.9907,0.99249,0.99244,0.84636,0.98487,0.98664,0.98346,0.761,0.65693,1.23049,0.35305,0.89607,0.0005348,0.0005348,0.0005348
76,9102.51,0.61077,1.19952,0.35663,0.88949,0.99063,0.99249,0.99292,0.84183,0.9848,0.98664,0.98444,0.75846,0.66903,1.21884,0.34908,0.89893,0.000515,0.000515,0.000515
77,9218.7,0.62601,1.21133,0.36083,0.8961,0.98984,0.99165,0.99277,0.84196,0.98318,0.98497,0.98464,0.76251,0.65562,1.2134,0.34304,0.89258,0.0004952,0.0004952,0.0004952
78,9334.89,0.6099,1.13608,0.35342,0.88683,0.98981,0.99165,0.99258,0.83896,0.98398,0.98581,0.98446,0.76212,0.65336,1.21944,0.34712,0.89242,0.0004754,0.0004754,0.0004754
79,9452.2,0.60011,1.14545,0.35111,0.87978,0.98975,0.99165,0.99247,0.8484,0.98558,0.98748,0.98444,0.76425,0.65052,1.2181,0.35798,0.89367,0.0004556,0.0004556,0.0004556
80,9567.98,0.59661,1.15536,0.35273,0.88534,0.9896,0.99165,0.99284,0.84011,0.9846,0.98664,0.98374,0.76268,0.66794,1.2281,0.35733,0.90062,0.0004358,0.0004358,0.0004358
81,9685.29,0.60607,1.16324,0.34634,0.88601,0.98977,0.99165,0.99274,0.84034,0.9831,0.98497,0.98322,0.75243,0.65585,1.26547,0.35101,0.90386,0.000416,0.000416,0.000416
82,9800.92,0.59813,1.16339,0.34513,0.88372,0.98988,0.99165,0.99233,0.83947,0.98488,0.98664,0.98423,0.75728,0.66334,1.25523,0.34046,0.90393,0.0003962,0.0003962,0.0003962
83,9917.9,0.59981,1.14948,0.34695,0.88291,0.98989,0.99165,0.99177,0.84619,0.98406,0.98581,0.9838,0.76768,0.64237,1.23133,0.34419,0.89242,0.0003764,0.0003764,0.0003764
84,10035.5,0.60778,1.16753,0.34972,0.88526,0.98988,0.99165,0.99233,0.85105,0.98571,0.98748,0.98543,0.77087,0.6543,1.22206,0.35133,0.89372,0.0003566,0.0003566,0.0003566
85,10152.8,0.59057,1.12454,0.34228,0.88572,0.9899,0.99165,0.99256,0.85343,0.9849,0.98664,0.98691,0.77396,0.6515,1.22585,0.34536,0.89051,0.0003368,0.0003368,0.0003368
86,10269.8,0.60256,1.14386,0.34467,0.88718,0.98989,0.99165,0.99251,0.84851,0.98489,0.98664,0.98861,0.76659,0.65702,1.24913,0.34493,0.89251,0.000317,0.000317,0.000317
87,10387.3,0.59899,1.1402,0.34289,0.88254,0.98988,0.99165,0.99219,0.84935,0.98572,0.98748,0.98791,0.76497,0.64172,1.23551,0.33822,0.89183,0.0002972,0.0002972,0.0002972
88,10503.5,0.59095,1.1604,0.34186,0.88827,0.99073,0.99249,0.99227,0.84888,0.98656,0.98831,0.98438,0.76765,0.63488,1.20759,0.33334,0.89014,0.0002774,0.0002774,0.0002774
89,10618.8,0.60408,1.14164,0.34102,0.88877,0.99073,0.99249,0.99252,0.84342,0.98573,0.98748,0.98455,0.76482,0.65757,1.21628,0.336,0.89405,0.0002576,0.0002576,0.0002576
90,10732.5,0.58133,1.10848,0.33705,0.88195,0.9899,0.99165,0.99237,0.84584,0.9849,0.98664,0.98521,0.76613,0.65747,1.22464,0.33422,0.89297,0.0002378,0.0002378,0.0002378
91,10840,0.55433,1.04457,0.31965,0.87827,0.98991,0.99165,0.99237,0.8429,0.98574,0.98748,0.98616,0.75768,0.6576,1.22464,0.33378,0.89447,0.000218,0.000218,0.000218
92,10949.3,0.55443,1.04398,0.31793,0.87575,0.99071,0.99249,0.99249,0.84232,0.98571,0.98748,0.9846,0.75914,0.6409,1.21059,0.3339,0.89306,0.0001982,0.0001982,0.0001982
93,11058.5,0.54538,1.03716,0.31462,0.87382,0.98985,0.99165,0.99238,0.84221,0.98569,0.98748,0.98374,0.75696,0.64622,1.21887,0.33738,0.89448,0.0001784,0.0001784,0.0001784
94,11168.1,0.54901,1.02782,0.31319,0.87364,0.98988,0.99165,0.99226,0.84623,0.98488,0.98664,0.98341,0.76021,0.64672,1.21912,0.34119,0.89398,0.0001586,0.0001586,0.0001586
95,11276.2,0.55065,1.0247,0.31223,0.87156,0.98987,0.99165,0.99206,0.84521,0.98404,0.98581,0.98327,0.76088,0.64913,1.21992,0.33496,0.8958,0.0001388,0.0001388,0.0001388
96,11385,0.5449,1.02281,0.31243,0.87125,0.98987,0.99165,0.99221,0.84725,0.98404,0.98581,0.98384,0.76202,0.64492,1.21012,0.33876,0.89365,0.000119,0.000119,0.000119
97,11493.6,0.54154,1.019,0.30725,0.86833,0.98988,0.99165,0.99226,0.8498,0.98404,0.98581,0.98402,0.76592,0.63649,1.20591,0.33434,0.89105,9.92e-05,9.92e-05,9.92e-05
98,11602.8,0.54747,1.03337,0.30892,0.87932,0.9907,0.99249,0.9926,0.85296,0.98487,0.98664,0.98459,0.76582,0.63009,1.20292,0.33209,0.88866,7.94e-05,7.94e-05,7.94e-05
99,11712.7,0.5357,1.01228,0.3077,0.87561,0.98988,0.99165,0.99216,0.85207,0.98488,0.98664,0.98438,0.76482,0.63015,1.2086,0.33165,0.88765,5.96e-05,5.96e-05,5.96e-05
100,11822.3,0.5387,1.02174,0.30372,0.87345,0.98987,0.99165,0.99212,0.85126,0.98571,0.98748,0.98641,0.7648,0.63199,1.20773,0.33109,0.88782,3.98e-05,3.98e-05,3.98e-05
